Title,Year,Username,UserID,Date,Start,Finish,Paused,Duration,Percent,Platform,Player,Type,Transcode,RatingKey
Love Is Blind - Perfect Husband, but…,2024,Rika T,20848970,10/17/2024,15:32,15:40,0 mins,8 mins,100,Tizen,TV 2019,episode,direct play,142106
Love Is Blind - Perfect Husband, but…,2024,Rika T,20848970,10/17/2024,14:39,15:10,21 mins,10 mins,15,Tizen,TV 2019,episode,direct play,142106
Love Is Blind - No More Situationships,2024,Rika T,20848970,10/17/2024,13:28,14:39,14 secs,1 hr 11 mins,100,Tizen,TV 2019,episode,direct play,142105
Borderlands,2024,dlee247,63169931,10/16/2024,23:20,23:32,0 mins,11 mins,10,Android,Plex for Android (TV),movie,direct play,141115
Dune: Part Two,2024,dlee247,63169931,10/16/2024,22:57,23:20,0 mins,23 mins,100,Android,Plex for Android (TV),movie,direct play,137982
Interview with the Vampire,1994,dlee247,63169931,10/16/2024,22:40,22:44,0 mins,4 mins,100,Android,Plex for Android (TV),movie,direct play,119574
Love Is Blind - TBA,2024,williamsarevet,314398203,10/16/2024,21:43,22:20,11 mins,26 mins,100,webOS,LG 55SK7900PLA,episode,direct play,142257
Love Is Blind - TBA,2024,williamsarevet,314398203,10/16/2024,20:26,21:43,11 mins,1 hr 7 mins,100,webOS,LG 55SK7900PLA,episode,direct play,142256
Midnight in Paris,2011,dlee247,63169931,10/15/2024,21:24,22:15,1 sec,51 mins,100,Android,Plex for Android (TV),movie,direct play,1402
House of Cards - Chapter 9,2013,Rauno T,8898770,10/15/2024,20:04,20:27,2 mins,21 mins,100,tvOS,Apple TV,episode,direct play,141737
House of Cards - Chapter 8,2013,Rauno T,8898770,10/15/2024,19:20,20:04,1 min,43 mins,100,tvOS,Apple TV,episode,direct play,141736
Outer Banks - Albatross,2024,williamsarevet,314398203,10/15/2024,15:26,16:24,1 sec,58 mins,100,webOS,LG 55SK7900PLA,episode,direct play,142102
Outer Banks - The Swell,2024,williamsarevet,314398203,10/15/2024,13:27,14:08,0 mins,42 mins,100,webOS,LG 55SK7900PLA,episode,direct play,142101
Westworld - Que Será, Será,2022,dlee247,63169931,10/14/2024,21:06,21:55,3 secs,49 mins,100,Android,Plex for Android (TV),episode,transcode,40986
House of Cards - Chapter 7,2013,Rauno T,8898770,10/14/2024,20:26,21:25,7 mins,52 mins,100,tvOS,Apple TV,episode,direct play,141735
House of Cards - Chapter 6,2013,Rauno T,8898770,10/14/2024,19:37,20:26,3 secs,49 mins,100,tvOS,Apple TV,episode,direct play,141734
The Last King of Scotland,2006,williamsarevet,314398203,10/14/2024,19:17,21:28,6 mins,2 hrs 4 mins,100,webOS,LG 55SK7900PLA,movie,direct play,141813
Dreamland,2019,kregorkruusvald,168005844,10/14/2024,15:19,16:54,0 mins,1 hr 35 mins,100,Android,Smart TV Pro,movie,direct play,126186
SBAW - 45 - Epilogue - Mark Lanegan,2020,trevortart,308342405,10/14/2024,00:06,00:13,0 mins,8 mins,100,Chrome,Chrome,track,direct play,140594
SBAW - 44 - Chapter 43 - Mark Lanegan,2020,trevortart,308342405,10/13/2024,23:58,00:05,0 mins,8 mins,100,Chrome,Chrome,track,direct play,140593
SBAW - 43 - Chapter 42 - Mark Lanegan,2020,trevortart,308342405,10/13/2024,23:45,23:58,0 mins,13 mins,100,Chrome,Chrome,track,direct play,140592
SBAW - 42 - Chapter 41 - Mark Lanegan,2020,trevortart,308342405,10/13/2024,23:22,23:45,0 mins,23 mins,100,Chrome,Chrome,track,direct play,140591
Westworld - Metanoia,2022,dlee247,63169931,10/13/2024,22:06,22:59,0 mins,53 mins,100,Android,Plex for Android (TV),episode,transcode,40909
Gerald's Game,2017,kregorkruusvald,168005844,10/13/2024,21:58,23:36,0 mins,1 hr 39 mins,100,Android,Smart TV Pro,movie,direct play,141571
House of Cards - Chapter 5,2013,Rauno T,8898770,10/13/2024,21:10,22:16,13 secs,49 mins,100,macOS,X-29JVW3,episode,direct play,141733
Love Is Blind - Is Love Enough?,2024,williamsarevet,314398203,10/13/2024,21:48,23:01,10 mins,1 hr 2 mins,100,webOS,LG 55SK7900PLA,episode,direct play,142115
Westworld - Fidelity,2022,dlee247,63169931,10/13/2024,21:13,22:06,0 mins,53 mins,100,Android,Plex for Android (TV),episode,transcode,40807
Westworld - Zhuangzi,2022,dlee247,63169931,10/13/2024,20:44,21:13,0 mins,30 mins,100,Android,Plex for Android (TV),episode,transcode,40731
House of Cards - Chapter 4,2013,Rauno T,8898770,10/13/2024,21:38,21:10,3 mins,46 mins,100,tvOS,Apple TV,episode,direct play,141732
Westworld - Generation Loss,2022,dlee247,63169931,10/13/2024,20:13,20:44,0 mins,31 mins,100,Android,Plex for Android (TV),episode,transcode,40649
It's What's Inside,2024,williamsarevet,314398203,10/13/2024,19:49,21:39,5 mins,1 hr 44 mins,100,webOS,LG 55SK7900PLA,movie,direct play,141653
Westworld - Années Folles,2022,dlee247,63169931,10/13/2024,19:30,20:12,0 mins,41 mins,100,Android,Plex for Android (TV),episode,transcode,40603
Troy,2004,kregorkruusvald,168005844,10/13/2024,18:48,21:53,0 mins,3 hrs 5 mins,100,Android,Smart TV Pro,movie,direct play,126599
SBAW - 41 - Chapter 40 - Mark Lanegan,2020,trevortart,308342405,10/13/2024,09:20,19:41,13 mins,1 hr 2 mins,100,Chrome,Chrome,track,direct play,140590
The Breakfast Club,1985,dlee247,63169931,10/13/2024,18:30,20:12,6 mins,1 hr 36 mins,100,tvOS,Apple TV,movie,direct play,142136
SBAW - 40 - Chapter 39 - Mark Lanegan,2020,trevortart,308342405,10/13/2024,18:15,18:34,3 secs,19 mins,100,Chrome,Chrome,track,direct play,140589
SBAW - 39 - Chapter 38 - Mark Lanegan,2020,trevortart,308342405,10/13/2024,18:01,18:15,1 min,13 mins,100,Chrome,Chrome,track,direct play,140587
SBAW - 38 - Chapter 37 - Mark Lanegan,2020,trevortart,308342405,10/13/2024,17:52,18:01,0 mins,8 mins,100,Chrome,Chrome,track,direct play,140586
SBAW - 37 - Chapter 36 - Mark Lanegan,2020,trevortart,308342405,10/13/2024,17:50,17:52,0 mins,3 mins,100,Chrome,Chrome,track,direct play,140585
Love Is Blind - Dirty Laundry,2024,williamsarevet,314398203,10/13/2024,16:30,17:35,7 mins,58 mins,100,webOS,LG 55SK7900PLA,episode,direct play,142114
SBAW - 40 - Chapter 39 - Mark Lanegan,2020,trevortart,308342405,10/13/2024,09:01,09:20,0 mins,18 mins,100,Chrome,Chrome,track,direct play,140589
SBAW - 39 - Chapter 38 - Mark Lanegan,2020,trevortart,308342405,10/13/2024,08:36,09:01,0 mins,26 mins,100,Chrome,Chrome,track,direct play,140587
SBAW - 38 - Chapter 37 - Mark Lanegan,2020,trevortart,308342405,10/13/2024,08:26,08:36,0 mins,9 mins,100,Chrome,Chrome,track,direct play,140586
SBAW - 37 - Chapter 36 - Mark Lanegan,2020,trevortart,308342405,10/13/2024,09:56,08:26,7 mins,27 mins,100,Chrome,Chrome,track,direct play,140585
SBAW - 36 - Chapter 35 - Mark Lanegan,2020,trevortart,308342405,10/13/2024,08:10,08:14,0 mins,5 mins,100,Chrome,Chrome,track,direct play,140584
The Office - Lecture Circuit (1),2009,Rauno T,8898770,10/13/2024,03:09,03:24,4 mins,12 mins,100,macOS,X-29JVW3,episode,direct play,75598
Deadpool & Wolverine,2024,kregorkruusvald,168005844,10/13/2024,23:16,01:24,6 secs,2 hrs 6 mins,100,Android,Smart TV Pro,movie,direct play,141584
SBAW - 34 - Chapter 33 - Mark Lanegan,2020,trevortart,308342405,10/13/2024,00:00,00:03,0 mins,3 mins,0,Chrome,Chrome,track,direct play,140582
SBAW - 35 - Chapter 34 - Mark Lanegan,2020,trevortart,308342405,10/12/2024,23:55,00:00,0 mins,5 mins,0,Chrome,Chrome,track,direct play,140583
Westworld - Well Enough Alone,2022,dlee247,63169931,10/12/2024,23:54,00:33,0 mins,38 mins,100,Android,Plex for Android (TV),episode,transcode,40541
SBAW - 34 - Chapter 33 - Mark Lanegan,2020,trevortart,308342405,10/12/2024,23:41,23:55,2 secs,13 mins,100,Chrome,Chrome,track,direct play,140582
60 Minutes - Election Special,2024,dlee247,63169931,10/12/2024,21:22,21:24,0 mins,3 mins,17,Android,Plex for Android (TV),episode,direct play,141778
Alright - Jamiroquai,1996,Rauno T,8898770,10/12/2024,13:58,14:03,3 mins,2 mins,100,iOS,iPhone,track,direct play,141261
SBAW - 36 - Chapter 35 - Mark Lanegan,2020,trevortart,308342405,10/12/2024,09:47,09:56,0 mins,9 mins,100,Chrome,Chrome,track,direct play,140584
SBAW - 35 - Chapter 34 - Mark Lanegan,2020,trevortart,308342405,10/12/2024,09:37,09:47,0 mins,10 mins,100,Chrome,Chrome,track,direct play,140583
SBAW - 34 - Chapter 33 - Mark Lanegan,2020,trevortart,308342405,10/12/2024,09:12,09:37,4 mins,18 mins,100,Chrome,Chrome,track,direct play,140582
SBAW - 33 - Chapter 32 - Mark Lanegan,2020,trevortart,308342405,10/12/2024,00:30,09:12,4 mins,28 mins,100,Chrome,Chrome,track,direct play,140581
SBAW - 32 - Chapter 31 - Mark Lanegan,2020,trevortart,308342405,10/12/2024,00:24,00:30,9 secs,6 mins,100,Chrome,Chrome,track,direct play,140580
SBAW - 31 - Chapter 30 - Mark Lanegan,2020,trevortart,308342405,10/12/2024,14:03,00:24,5 secs,25 mins,100,Chrome,Chrome,track,direct play,140579
SBAW - 30 - Chapter 29 - Mark Lanegan,2020,trevortart,308342405,10/11/2024,13:54,14:03,0 mins,10 mins,100,Chrome,Chrome,track,direct play,140578
SBAW - 29 - Chapter 28 - Mark Lanegan,2020,trevortart,308342405,10/11/2024,13:42,13:53,0 mins,11 mins,100,Chrome,Chrome,track,direct play,140576
SBAW - 28 - Chapter 27 - Mark Lanegan,2020,trevortart,308342405,10/11/2024,13:25,13:42,0 mins,18 mins,100,Chrome,Chrome,track,direct play,140575
SBAW - 27 - Chapter 26 - Mark Lanegan,2020,trevortart,308342405,10/11/2024,13:16,13:25,0 mins,9 mins,100,Chrome,Chrome,track,direct play,140574
SBAW - 26 - Chapter 25 - Mark Lanegan,2020,trevortart,308342405,10/11/2024,13:10,13:16,0 mins,6 mins,100,Chrome,Chrome,track,direct play,140573
SBAW - 25 - Chapter 24 - Mark Lanegan,2020,trevortart,308342405,10/11/2024,13:05,13:10,0 mins,5 mins,100,Chrome,Chrome,track,direct play,140572
SBAW - 24 - Chapter 23 - Mark Lanegan,2020,trevortart,308342405,10/11/2024,13:04,13:08,15 secs,3 mins,4,Chrome,Chrome,track,direct play,140571
SBAW - 23 - Chapter 22 - Mark Lanegan,2020,trevortart,308342405,10/11/2024,00:40,00:48,0 mins,8 mins,100,Chrome,Chrome,track,direct play,140570
SBAW - 22 - Chapter 21 - Mark Lanegan,2020,trevortart,308342405,10/11/2024,00:32,00:40,0 mins,8 mins,100,Chrome,Chrome,track,direct play,140569
SBAW - 21 - Chapter 20 - Mark Lanegan,2020,trevortart,308342405,10/11/2024,00:21,00:32,0 mins,11 mins,100,Chrome,Chrome,track,direct play,140568
SBAW - 20 - Chapter 19 - Mark Lanegan,2020,trevortart,308342405,10/11/2024,00:16,00:21,0 mins,5 mins,100,Chrome,Chrome,track,direct play,140567
SBAW - 19 - Chapter 18 - Mark Lanegan,2020,trevortart,308342405,10/11/2024,19:42,00:16,49 mins,10 mins,100,Chrome,Chrome,track,direct play,140565
SBAW - 18 - Chapter 17 - Mark Lanegan,2020,trevortart,308342405,10/11/2024,00:04,00:09,2 secs,5 mins,100,Chrome,Chrome,track,direct play,140564
Westworld - The Auguries,2022,dlee247,63169931,10/10/2024,23:40,00:05,0 mins,25 mins,100,Android,Plex for Android (TV),episode,transcode,40514
Westworld - Crisis Theory,2020,dlee247,63169931,10/10/2024,22:51,23:40,0 mins,48 mins,100,Android,Plex for Android (TV),episode,transcode,2135
Westworld - Passed Pawn,2020,dlee247,63169931,10/10/2024,20:04,22:51,0 mins,54 mins,100,Android,Plex for Android (TV),episode,transcode,2134
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,kregorkruusvald,168005844,10/10/2024,21:17,22:52,0 mins,1 hr 35 mins,100,Android,Smart TV Pro,movie,direct play,141411
House of Cards - Chapter 3,2013,Rauno T,8898770,10/10/2024,20:25,21:12,18 secs,47 mins,100,tvOS,Apple TV,episode,direct play,141731
SBAW - 18 - Chapter 17 - Mark Lanegan,2020,trevortart,308342405,10/10/2024,19:36,19:42,0 mins,6 mins,100,Chrome,Chrome,track,direct play,140564
SBAW - 17 - Chapter 16 - Mark Lanegan,2020,trevortart,308342405,10/10/2024,19:36,19:36,0 mins,1 min,100,Chrome,Chrome,track,direct play,140563
Deadpool & Wolverine,2024,dlee247,63169931,10/10/2024,20:23,19:41,1 sec,42 mins,100,Android,Plex for Android (TV),movie,direct play,141584
The Secret Lives of Mormon Wives - The Book of Rumors,2024,Kristina K,16439482,10/10/2024,13:53,18:26,5 mins,44 mins,100,tvOS,Apple TV,episode,copy,141429
The Office - Stress Relief,2009,Rauno T,8898770,10/10/2024,14:37,15:06,2 mins,41 mins,100,tvOS,Apple TV,episode,direct play,75597
The Secret Lives of Mormon Wives - The Book of Trust,2024,Kristina K,16439482,10/10/2024,13:03,13:53,7 mins,42 mins,100,tvOS,Apple TV,episode,copy,141428
The Secret Lives of Mormon Wives - The First Book of Sin,2024,Kristina K,16439482,10/10/2024,12:46,13:03,9 mins,47 mins,100,tvOS,Apple TV,episode,copy,141427
Westworld - Decoherence,2020,dlee247,63169931,10/09/2024,22:30,20:04,1 sec,51 mins,100,Android,Plex for Android (TV),episode,transcode,2133
The Office - Prince Family Paper,2009,Rauno T,8898770,10/09/2024,14:15,14:37,12 secs,21 mins,100,tvOS,Apple TV,episode,direct play,75596
SBAW - 17 - Chapter 16 - Mark Lanegan,2020,trevortart,308342405,10/09/2024,13:45,13:59,1 min,13 mins,100,Chrome,Chrome,track,direct play,140563
SBAW - 16 - Chapter 15 - Mark Lanegan,2020,trevortart,308342405,10/09/2024,13:30,13:45,0 mins,15 mins,100,Chrome,Chrome,track,direct play,140562
SBAW - 15 - Chapter 14 - Mark Lanegan,2020,trevortart,308342405,10/09/2024,13:06,13:30,1 min,23 mins,100,Chrome,Chrome,track,direct play,140561
SBAW - 14 - Chapter 13 - Mark Lanegan,2020,trevortart,308342405,10/09/2024,12:51,13:06,0 mins,16 mins,100,Chrome,Chrome,track,direct play,140560
SBAW - 13 - Chapter 12 - Mark Lanegan,2020,trevortart,308342405,10/09/2024,12:50,12:51,0 mins,1 min,100,Chrome,Chrome,track,direct play,140559
SBAW - 11 - Chapter 10 - Mark Lanegan,2020,trevortart,308342405,10/09/2024,12:49,12:50,0 mins,1 min,100,Chrome,Chrome,track,direct play,140557
SBAW - 10 - Chapter 9 - Mark Lanegan,2020,trevortart,308342405,10/09/2024,12:39,12:48,0 mins,10 mins,100,Chrome,Chrome,track,direct play,140556
SBAW - 09 - Chapter 8 - Mark Lanegan,2020,trevortart,308342405,10/09/2024,12:25,12:39,0 mins,14 mins,100,Chrome,Chrome,track,direct play,140599
SBAW - 08 - Chapter 7 - Mark Lanegan,2020,trevortart,308342405,10/09/2024,11:33,12:25,3 mins,31 mins,100,Chrome,Chrome,track,direct play,140598
SBAW - 07 - Chapter 6 - Mark Lanegan,2020,trevortart,308342405,10/09/2024,11:59,12:00,0 mins,1 min,100,Chrome,Chrome,track,direct play,140597
SBAW - 07 - Chapter 6 - Mark Lanegan,2020,trevortart,308342405,10/09/2024,11:24,11:33,0 mins,10 mins,100,Chrome,Chrome,track,direct play,140597
SBAW - 06 - Chapter 5 - Mark Lanegan,2020,trevortart,308342405,10/09/2024,11:02,11:24,4 mins,18 mins,100,Chrome,Chrome,track,direct play,140596
SBAW - 05 - Chapter 4 - Mark Lanegan,2020,trevortart,308342405,10/09/2024,09:41,11:02,4 mins,27 mins,100,Chrome,Chrome,track,direct play,140595
SBAW - 04 - Chapter 3 - Mark Lanegan,2020,trevortart,308342405,10/09/2024,09:11,09:41,1 min,29 mins,100,Chrome,Chrome,track,direct play,140588
SBAW - 03 - Chapter 2 - Mark Lanegan,2020,trevortart,308342405,10/09/2024,09:06,09:11,0 mins,5 mins,100,Chrome,Chrome,track,direct play,140577
SBAW - 03 - Chapter 2 - Mark Lanegan,2020,trevortart,308342405,10/09/2024,08:08,08:50,4 mins,38 mins,100,Chrome,Chrome,track,direct play,140577
SBAW - 02 - Chapter 1 - Mark Lanegan,2020,trevortart,308342405,10/09/2024,07:17,08:08,0 mins,51 mins,100,Chrome,Chrome,track,direct play,140566
Beetlejuice Beetlejuice,2024,dlee247,63169931,10/08/2024,22:24,22:26,0 mins,2 mins,3,Android,Plex for Android (TV),movie,direct play,141773
Perfect Days,2023,kregorkruusvald,168005844,10/08/2024,21:52,23:57,0 mins,2 hrs 5 mins,100,Android,Smart TV Pro,movie,direct play,133561
House of Cards - Chapter 2,2013,Rauno T,8898770,10/08/2024,20:36,21:39,12 secs,45 mins,100,macOS,raunotegelmann-MacBook-Pro,episode,direct play,141730
House of Cards - Chapter 1,2013,Rauno T,8898770,10/08/2024,21:47,20:36,6 mins,54 mins,100,tvOS,Apple TV,episode,direct play,141729
Westworld - Genre,2020,dlee247,63169931,10/08/2024,07:08,07:27,0 mins,19 mins,100,Android,Plex for Android (TV),episode,transcode,2132
Westworld - The Mother of Exiles,2020,dlee247,63169931,10/07/2024,23:11,23:54,0 mins,43 mins,100,Android,Plex for Android (TV),episode,transcode,2131
Westworld - The Absence of Field,2020,dlee247,63169931,10/07/2024,22:16,23:11,0 mins,55 mins,100,Android,Plex for Android (TV),episode,transcode,2130
Westworld - The Winter Line,2020,dlee247,63169931,10/07/2024,19:27,20:28,0 mins,1 hr 1 min,100,Android,Plex for Android (TV),episode,transcode,2129
Westworld - Parce Domine,2020,dlee247,63169931,10/07/2024,07:24,19:27,1 sec,1 hr 2 mins,100,Android,Plex for Android (TV),episode,transcode,2128
90 Day Fiancé: Before the 90 Days - Paradise Lost,2024,Rauno T,8898770,10/07/2024,18:36,20:02,4 mins,1 hr 22 mins,100,tvOS,Apple TV,episode,direct play,141772
Brooklyn Nine-Nine - The Crime Scene,2019,kregorkruusvald,168005844,10/07/2024,16:43,17:05,0 mins,22 mins,100,Android,Smart TV Pro,episode,direct play,141371
Westworld - Parce Domine,2020,dlee247,63169931,10/06/2024,21:30,22:31,0 mins,1 hr 1 min,100,Android,Plex for Android (TV),episode,transcode,2128
Westworld - The Passenger,2018,dlee247,63169931,10/06/2024,20:00,21:30,0 mins,1 hr 30 mins,100,Android,Plex for Android (TV),episode,transcode,2147
Twin Peaks - Pilot,1990,Rauno T,8898770,10/06/2024,19:49,19:53,19 secs,4 mins,4,tvOS,Apple TV,episode,direct play,140721
The Keepers - The Murder,2017,Rauno T,8898770,10/06/2024,19:04,19:47,15 mins,28 mins,100,tvOS,Apple TV,episode,direct play,127429
Westworld - Vanishing Point,2018,dlee247,63169931,10/06/2024,18:59,19:59,1 min,59 mins,100,Android,Plex for Android (TV),episode,transcode,2146
The Office - The Duel,2009,Rauno T,8898770,10/06/2024,18:40,19:01,1 min,21 mins,100,tvOS,Apple TV,episode,direct play,75595
Westworld - Kiksuya,2018,dlee247,63169931,10/06/2024,18:01,18:59,0 mins,58 mins,100,Android,Plex for Android (TV),episode,transcode,2145
Westworld - Les Écorchés,2018,dlee247,63169931,10/06/2024,15:52,18:01,0 mins,59 mins,100,Android,Plex for Android (TV),episode,transcode,2144
Westworld - Phase Space,2018,dlee247,63169931,10/06/2024,00:26,15:50,0 mins,56 mins,100,Android,Plex for Android (TV),episode,transcode,2143
Kill Bill: Vol. 2,2004,Rauno T,8898770,10/06/2024,14:36,15:17,0 mins,41 mins,100,tvOS,Apple TV,movie,direct play,2559
Masterminds,2015,Rauno T,8898770,10/06/2024,14:28,14:35,0 mins,7 mins,8,tvOS,Apple TV,movie,direct play,141598
The Office - Moroccan Christmas,2008,Rauno T,8898770,10/06/2024,14:05,14:26,0 mins,21 mins,100,tvOS,Apple TV,episode,direct play,75594
60 Minutes - After the Hurricane; Vladimir Kara-Murza; Welcome to the W; The Mezcaleros,2024,Rauno T,8898770,10/06/2024,13:50,14:05,1 min,14 mins,100,tvOS,Apple TV,episode,direct play,141583
The Office - The Surplus,2008,Rauno T,8898770,10/06/2024,10:13,10:34,0 mins,21 mins,100,tvOS,Apple TV,episode,direct play,75593
Westworld - Akane No Mai,2018,dlee247,63169931,10/05/2024,23:55,00:24,8 secs,1 hr 43 mins,100,Android,Plex for Android (TV),episode,transcode,2142
